ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg,curve_radius_m,road_grade_pct,speed_kph,cumulative_distance_m,elevation_m
2022-12-28,HENDERSON,00H,SG,250.36534090909092,250.3655303030303,0.9999999999990904,0.3047999999997227,-0.61,41,-3.8,1507.7842105263157,-0.61,65.98294,3.3527999999969493,-0.018592799999983083
2022-12-28,HENDERSON,00H,SG,250.38541666666663,250.38560606060605,0.9999999999990904,0.3047999999997227,-0.61,40,-4.0,1432.395,-0.61,64.3736,3.657599999996672,-0.02045207999998139
2022-12-28,HENDERSON,00H,SG,250.3600378787879,250.3602272727273,0.9999999999990904,0.3047999999997227,-0.61,41,-3.6,1591.55,-0.61,65.98294,3.9623999999963946,-0.0223113599999797
2022-12-28,HENDERSON,00H,SG,250.3939393939394,250.3941287878788,0.9999999999990904,0.3047999999997227,-0.61,40,-4.1,1397.458536585366,-0.61,64.3736,4.267199999996118,-0.024170639999978007
2022-12-28,HENDERSON,00H,SG,250.36155303030304,250.36174242424244,0.9999999999990904,0.3047999999997227,-0.61,41,-3.8,1507.7842105263157,-0.61,65.98294,4.571999999995841,-0.026029919999976316
2022-12-28,HENDERSON,00H,SG,250.39204545454547,250.39242424242423,1.999999999998181,0.6095999999994455,-0.61,40,-4.0,1432.395,-0.61,64.3736,5.181599999995286,-0.027889199999974624
2022-12-28,HENDERSON,00H,SG,250.39545454545456,250.39583333333337,1.999999999998181,0.6095999999994455,-0.61,40,-4.1,1397.458536585366,-0.61,64.3736,5.791199999994731,-0.031607759999971244
2022-12-28,HENDERSON,00H,SG,250.39356060606065,250.3939393939394,1.999999999998181,0.6095999999994455,-0.61,41,-4.1,1397.458536585366,-0.61,65.98294,6.4007999999941765,-0.03532631999996786
2022-12-28,HENDERSON,00H,SG,250.3691287878788,250.3695075757576,1.999999999998181,0.6095999999994455,-0.61,41,-3.9,1469.123076923077,-0.61,65.98294,7.010399999993622,-0.03904487999996448
2022-12-28,HENDERSON,00H,SG,250.3695075757576,250.36988636363637,1.999999999998181,0.6095999999994455,-0.61,41,-4.0,1432.395,-0.61,65.98294,7.619999999993067,-0.04276343999996109
2022-12-28,HENDERSON,00H,SG,250.36193181818183,250.36231060606065,1.999999999998181,0.6095999999994455,-0.61,41,-3.8,1507.7842105263157,-0.61,65.98294,8.229599999992512,-0.04648199999995771
2022-12-28,HENDERSON,00H,SG,250.39242424242423,250.39280303030304,1.999999999998181,0.6095999999994455,-0.61,41,-4.0,1432.395,-0.61,65.98294,8.839199999991958,-0.050200559999954326
2022-12-28,HENDERSON,00H,SG,250.39867424242425,250.39924242424243,2.9999999999972715,0.9143999999991684,-0.61,40,-4.1,1397.458536585366,-0.61,64.3736,9.753599999991128,-0.05391911999995094
2022-12-28,HENDERSON,00H,SG,250.39280303030304,250.3933712121212,2.9999999999972715,0.9143999999991684,-0.61,41,-4.1,1397.458536585366,-0.61,65.98294,10.667999999990297,-0.05949695999994587
2022-12-28,HENDERSON,00H,SG,250.36799242424243,250.3689393939394,4.9999999999954525,1.523999999998614,-0.61,41,-3.9,1469.123076923077,-0.61,65.98294,12.19199999998891,-0.0650747999999408
2022-12-28,HENDERSON,00H,SG,250.3804924242424,250.3816287878788,5.999999999994543,1.8287999999983369,-0.61,41,-4.0,1432.395,-0.61,65.98294,14.020799999987247,-0.07437119999993234
2022-12-28,HENDERSON,00H,SG,250.3939393939394,250.39526515151516,6.9999999999936335,2.1335999999980597,-0.61,41,-4.1,1397.458536585366,-0.61,65.98294,16.15439999998531,-0.0855268799999222
2022-12-28,HENDERSON,00H,SG,250.3602272727273,250.36155303030304,6.9999999999936335,2.1335999999980597,-0.61,41,-3.7,1548.535135135135,-0.61,65.98294,18.28799999998337,-0.09854183999991037
2022-12-28,HENDERSON,00H,SG,250.3655303030303,250.36780303030304,11.999999999989086,3.6575999999966737,-0.61,41,-3.9,1469.123076923077,-0.61,65.98294,21.945599999980043,-0.11155679999989854
2022-12-28,HENDERSON,00H,SG,250.3625,250.36515151515152,13.999999999987269,4.267199999996119,-0.61,41,-3.8,1507.7842105263157,-0.61,65.98294,26.212799999976163,-0.13386815999987825
2022-12-28,HENDERSON,00H,SG,250.39583333333337,250.39867424242425,14.999999999986358,4.571999999995842,-0.61,41,-4.1,1397.458536585366,-0.61,65.98294,30.784799999972005,-0.1598980799998546
