milepost,loco_force_kN,air_force_kN,total_force_kN
259.65,6641.6864315252205,6718.2399364191615,13359.926367944383
260.15,6685.4232214485955,2564.2294292401025,9249.652650688698
260.65,4982.875426971068,0.0,4982.875426971068
261.15,7569.016333578419,415.14396213458457,7984.1602957130035
261.65,7348.619451616552,5369.665109164694,12718.284560781245
262.15,5344.707555053431,19227.251593147907,24571.95914820134
262.65,7845.722088152847,23010.278550281557,30856.000638434405
263.15,7196.902670102501,16265.53757201672,23462.44024211922
263.65,8721.834839734634,10380.69860468145,19102.533444416084
264.15,8744.028904857289,4709.970937899316,13453.999842756604
264.65,10643.946319162926,6.369088593444141,10650.31540775637
265.15,7946.0000311550075,0.0,7946.0000311550075
265.65,8680.33808838666,3642.9314879861013,12323.26957637276
266.15,5538.279649082955,19062.34885428669,24600.628503369648
266.65,8215.440018102807,39919.517217345274,48134.95723544808
267.15,4393.535960242968,34345.33991819196,38738.87587843493
