milepost,peak_loco_kN,peak_air_kN,total_peak_kN
192.42500000000354,722.1503801287674,1484.171527049118,2206.3219071778854
192.47500000000355,719.7588292451936,1528.4373778161246,2248.196207061318
192.52500000000356,717.9833474377951,1556.8268473372118,2274.810194775007
192.57500000000357,716.0364088442262,1573.8832304563696,2289.919639300596
192.62500000000358,712.0893395926494,1581.8720892866286,2293.961428879278
192.6750000000036,706.6707670051168,1584.435307267864,2291.1060742729805
192.7250000000036,701.9846390558514,1584.9712947520582,2286.95593380791
192.77500000000362,700.0489027751714,1585.043832770043,2285.0927355452145
192.82500000000363,702.1793012491798,1585.050127207915,2287.229428457095
192.87500000000364,707.2818924038386,1585.050127207915,2292.332019611754
192.92500000000365,711.9682505918302,1585.050127207915,2297.0183777997454
192.97500000000366,714.2513093696974,1585.050127207915,2299.3014365776125
193.02500000000367,714.9030197373605,1585.050127207915,2299.9531469452754
193.07500000000368,715.2367249670781,1585.050127207915,2300.2868521749933
193.1250000000037,715.6584024712452,1585.050127207915,2300.70852967916
193.1750000000037,715.6638606131503,1585.050127207915,2300.7139878210655
193.22500000000372,714.3312502806048,1585.050127207915,2299.38137748852
193.27500000000373,711.8103571038631,1585.050127207915,2296.8604843117782
193.32500000000374,710.3807918164147,1585.0043216838428,2295.3851135002574
193.37500000000375,712.0066279941797,1584.4764521589518,2296.4830801531316
193.42500000000376,715.4182988698237,1580.566479896648,2295.9847787664717
193.47500000000377,718.4970334497906,1561.9661687211722,2280.4632021709626
193.52500000000379,721.6933073948427,1504.9421437851443,2226.635451179987
193.5750000000038,727.3481502393578,1391.4027770970702,2118.750927336428
193.6250000000038,737.7327564678465,1243.0759189050514,1980.8086753728978
193.67500000000382,753.4177942389761,1118.2645728839577,1871.6823671229338
193.72500000000383,772.8431953843211,1070.9690546882307,1843.8122500725517
193.77500000000384,793.5358046422241,1121.2479879047664,1914.7837925469905
193.82500000000385,813.3737826158798,1235.1398577975503,2048.51364041343
193.87500000000387,831.6037897359638,1342.2458711239497,2173.8496608599135
193.92500000000388,849.2433703715068,1401.1942681801415,2250.4376385516484
193.9750000000039,867.6227526817443,1421.3148075589427,2288.937560240687
194.0250000000039,886.8084613830683,1425.6488076559274,2312.457269038996
194.0750000000039,906.6335174830299,1426.2430152245167,2332.8765327075466
194.12500000000392,928.1395674322622,1426.2955659579952,2354.4351333902573
194.17500000000393,952.6061709214198,1426.2955659579952,2378.901736879415
194.22500000000394,980.2153098949236,1426.2955659579952,2406.5108758529186
194.27500000000396,1009.7753634114383,1426.2955659579952,2436.0709293694335
194.32500000000397,1038.9289117744624,1426.2955659579952,2465.2244777324577
194.37500000000398,1065.2344990564409,1426.2955659579952,2491.5300650144363
194.425000000004,1087.3571655947233,1426.2955659579952,2513.6527315527183
194.475000000004,1105.8392871665883,1426.2955659579952,2532.1348531245835
194.525000000004,1123.5063677084895,1426.2955659579952,2549.8019336664847
194.57500000000402,1143.6380794445442,1426.2955659579952,2569.9336454025397
194.62500000000404,1167.6023862452969,1426.2822055929057,2593.8845918382026
194.67500000000405,1196.6282887159705,1426.1282388014533,2622.756527517424
194.72500000000406,1234.3067682680842,1424.9826426756322,2659.2894109437166
194.77500000000407,1284.2471921574956,1419.5013363449748,2703.7485285024704
194.82500000000408,1346.4458871895256,1402.453102870252,2748.8989900597776
194.8750000000041,1417.2719230793007,1367.3527273788739,2784.6246504581745
194.9250000000041,1493.0554727620884,1317.6764040256194,2810.7318767877077
194.97500000000412,1575.9477905679057,1265.8560642175014,2841.803854785407
195.02500000000413,1677.9547276116666,1220.9815291080852,2898.936256719752
195.07500000000414,1816.1708968048347,1181.1466865208936,2997.3175833257283
195.12500000000415,1998.5360606402849,1135.966187326751,3134.502247967036
195.17500000000416,2210.878711484066,1074.1974861704234,3285.0761976544895
195.22500000000417,2417.147250718285,987.0034536018255,3404.1507043201104
195.27500000000418,2568.5864259325103,874.5653647350199,3443.1517906675303
195.3250000000042,2617.586532656901,760.9850358253989,3378.5715684823
195.3750000000042,2539.2890949307684,683.1574808821118,3222.4465758128804
195.42500000000422,2348.011916655721,657.2648351236728,3005.2767517793936
195.47500000000423,2097.5040852633656,671.716173759948,2769.2202590233137
195.52500000000424,1854.0126056003776,703.0399054725674,2557.052511072945
195.57500000000425,1652.2763199399462,730.7941903434099,2383.0705102833563
195.62500000000426,1490.8711412773105,749.6383128120931,2240.5094540894033
195.67500000000427,1361.5716906210725,769.3572196525909,2130.9289102736634
195.7250000000043,1260.6046791317817,799.8253010978916,2060.429980229673
195.7750000000043,1184.4903884818323,836.8008891736569,2021.291277655489
195.8250000000043,1127.9460471350242,866.3153916453546,1994.2614387803787
195.87500000000432,1082.9402161735331,881.4628246619437,1964.403040835477
195.92500000000433,1042.3579327091613,886.4492533942947,1928.807186103456
195.97500000000434,1006.5662425678701,887.5017493174536,1894.0679918853236
196.02500000000435,984.1689898647485,887.6441891513197,1871.8131790160683
196.07500000000437,979.2263497592288,887.6565492723937,1866.8828990316224
196.12500000000438,980.2790703372584,887.6565492723937,1867.9356196096521
196.1750000000044,973.8855947590836,887.6565492723937,1861.5421440314772
196.2250000000044,958.7131291740138,887.6565492723937,1846.3696784464075
196.2750000000044,938.8577261754955,887.6615061365527,1826.5192323120482
196.32500000000442,916.9094569849734,887.7186297604288,1804.6280867454022
196.37500000000443,896.065054981381,888.1407194218233,1784.2057744032043
