dist_bin,dist_nb_nb,res_grade_newtons_nb,res_curve_newtons_nb,res_total_nb,te_newtons_nb,dist_nb_sb,res_grade_newtons_sb,res_curve_newtons_sb,res_total_sb,te_newtons_sb
54930.0,54938.32609198366,-38629.25746622651,604.9773805269062,136795.23127829607,232721.25348472636,54933.78550701722,42234.87246479826,2129.479922975988,219183.86375176994,315109.88595820026
54950.0,54958.442891983665,-38207.60462136348,436.75344790106766,137048.66019053326,232974.68239696356,54953.90230701723,42225.76053597754,2284.6889400717923,219329.960840045,315255.98304647533
54970.0,54978.11265198366,-37745.54005009878,256.9700846919162,137330.9413985888,-343343.7099432339,54974.01910701724,41922.43731781201,2206.9168840328475,213501.84678248054,317016.33961559087
54990.0,54997.33537198366,-37212.102975827474,205.3807893605976,127041.15652728881,218703.79996898884,54993.91238701723,41613.225231574965,2109.0957159962336,213094.8135282069,306889.1463522721
55010.0,55016.74774113091,-36897.95809126046,360.14427888375786,127510.06490137898,325391.61314760987,55013.58214701722,41307.36123871963,1992.7746758747307,207596.3293844351,324212.0006445473
55030.0,55036.16011027816,-36592.79223449538,405.01646534025974,132369.9885317621,-343343.7099432339,55033.03892636055,41005.011019571066,1830.078287609872,206882.96802093662,331406.40146762086
55050.0,55055.382830278155,-36287.62637773179,491.0497684462677,128251.30210447016,219913.9455461702,55052.27218570386,40702.82648075276,1651.2738335465183,206401.97902805495,298064.62246975495
55070.0,55074.60555027815,-35985.441838912746,545.2651837120537,128607.70205855498,220270.34550025503,55071.49490570386,40400.64194193372,1457.1620349498817,205905.68269063928,297568.3261323393
55090.0,55093.82827027815,-35683.25730009388,552.0590486472435,128916.68046230904,220579.3239040091,55090.71762570386,40088.22483755937,1278.5589673810696,176240.69323480251,331797.3382940603
55120.0,55128.697390278154,-35145.06696782998,991.1772476889804,105106.99340641467,-399021.06831240695,55125.159751772786,39394.63007418764,964.2243717289874,175029.5532044723,253902.06035198164
55140.0,55145.23787027816,-34969.378282469384,1301.9374002108482,101003.25787629712,179875.76502380648,55141.70023177279,39047.9377350783,812.2728392410753,174530.90933287505,253403.4164803844
55170.0,55178.31883027816,-34622.68594335875,1517.4731244618145,101565.48593965873,180437.99308716806,55174.781191772796,38354.55305685779,520.1475116712487,173545.3993270847,252417.90647459403
55190.0,55194.85931027817,-34449.33977380372,1533.019885239342,101754.37886999128,180626.88601750063,55191.3216717728,38007.86071774808,386.0237382617242,173064.58321456547,251937.0903620748
