time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
1529.0,1.0,27842.946821248748,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1530.0,1.0,27863.95770124875,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1531.0,1.0,27884.96858124875,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1532.0,1.0,27905.979461248753,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1533.0,1.0,27926.990341248755,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1534.0,1.0,27948.001221248756,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1535.0,1.0,27969.012101248758,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1536.0,1.0,27990.02298124876,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1537.0,1.0,28011.03386124876,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1538.0,1.0,28032.044741248763,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1539.0,1.0,28053.055621248765,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1540.0,1.0,28074.066501248766,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1541.0,1.0,28095.077381248768,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
1542.0,1.0,28116.08826124877,21.01088,0.0,0.0,0.0,1006084.5210898916,100000.0,5525469.930405785,7046240.380825716,6377172.426293615,7780000.0,253750000.0
