ReportDate,Subdivision,LineCode,TrackNumber,beg_mp,end_mp,length_ft,length_m,grade_to_next,speed,curvature_deg
2022-12-28,HENDERSON,00H,SG,250.77916666666667,250.77973484848485,2.9999999999972715,0.91439999999916843,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,250.81477272727273,250.81534090909091,2.9999999999972715,0.91439999999916843,-0.6,42,0.1
2022-12-28,HENDERSON,00H,SG,250.81344696969697,250.81401515151515,2.9999999999972715,0.91439999999916843,-0.6,41,0.1
2022-12-28,HENDERSON,00H,SG,250.68011363636364,250.68068181818182,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,251.65984848484848,251.66041666666666,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.67670454545456,250.67727272727274,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.80984848484849,250.81041666666667,2.9999999999972715,0.91439999999916843,-0.6,41,0.1
2022-12-28,HENDERSON,00H,SG,251.64791666666667,251.64848484848486,2.9999999999972715,0.91439999999916843,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,249.55530303030304,249.55587121212122,2.9999999999972715,0.91439999999916843,-0.6,41,-0.2
2022-12-28,HENDERSON,00H,SG,250.81571969696969,250.81628787878788,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.81628787878788,250.81685606060606,2.9999999999972715,0.91439999999916843,-0.6,42,0.1
2022-12-28,HENDERSON,00H,SG,250.66325757575757,250.66382575757575,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.61420454545456,250.61477272727274,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.81155303030303,250.81212121212121,2.9999999999972715,0.91439999999916843,-0.6,41,0.1
2022-12-28,HENDERSON,00H,SG,250.62594696969697,250.62651515151515,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.66155303030303,250.66212121212121,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,250.7971590909091,250.79772727272729,2.9999999999972715,0.91439999999916843,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,251.67784090909092,251.6784090909091,2.9999999999972715,0.91439999999916843,-0.6,42,0
2022-12-28,HENDERSON,00H,SG,249.7971590909091,249.79772727272729,2.9999999999972715,0.91439999999916843,-0.6,41,-0.1
2022-12-28,HENDERSON,00H,SG,250.78636363636363,250.78693181818181,2.9999999999972715,0.91439999999916843,-0.6,41,0
2022-12-28,HENDERSON,00H,SG,251.61174242424244,251.61231060606062,2.9999999999972715,0.91439999999916843,-0.6,43,0
2022-12-28,HENDERSON,00H,SG,247.59375,247.59431818181818,2.9999999999972715,0.91439999999916843,-0.6,37,-0.2
2022-12-28,HENDERSON,00H,SG,247.60094696969696,247.60151515151514,2.9999999999972715,0.91439999999916843,-0.6,37,-0.1
2022-12-28,HENDERSON,00H,SG,249.58068181818183,249.58125,2.9999999999972715,0.91439999999916843,-0.6,42,0
